 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  2 12  4    1    0.000    0.413   0.000   0.240   9.984 1.002   4.199 570.923   0.000  0.000    0.000   89.067   89.067    0.000  0.962  0.153  0.450  3.170  0.080    0.000
  3 12  4    1    0.000    0.000   0.000   0.000   9.984 0.005   8.851 566.813   0.000  0.000    0.000   58.597   58.597    0.000  0.180  0.153  0.450  3.170  0.150    0.000
  4 12  4    1    0.000    0.848   0.000   4.007   3.143 1.002   0.040 560.955   0.000  0.000    0.000   58.523   58.523    0.000  0.180  0.153  0.450  3.170  0.150    0.000
  5 12  4    1    0.000    0.624   0.000   0.904   3.143 1.034   0.572 576.034   0.000  0.000    0.000   58.608   58.608    0.000  0.180  0.153  0.450  3.215  0.150    0.000
  6 12  4    1    0.000    0.958   0.000   1.231   3.143 0.960   0.001 693.305   0.000  0.000    0.000   58.593   58.593    0.000  0.180  0.149  0.150  3.920  0.150    0.000
  1 13  4    1    0.000    0.000   0.000   0.000   0.000 0.000   4.262 577.971   0.000  0.000    0.000   89.045   89.045    0.000  0.961  0.153  0.454  2.904  0.075    0.000
  2 13  4    1    0.000    0.402   0.000   0.585   3.990 1.002   4.199 572.234   0.000  0.000    0.000   89.045   89.045    0.000  0.961  0.153  0.453  2.850  0.080    0.000
  3 13  4    1    0.000    0.000   0.000   0.000   3.990 0.005   6.457 574.554   0.000  0.000    0.000   58.561   58.561    0.000  0.180  0.188  0.450  3.059  0.150    0.000
  4 13  4    1    0.000    0.000   0.000   0.000   0.000 0.000   6.454 571.596   0.000  0.000    0.000   58.487   58.487    0.000  0.180  0.183  0.450  3.170  0.150    0.000
  5 13  4    1    0.000    0.000   0.000   0.000   0.000 0.000   6.772 584.637   0.000  0.000    0.000   58.572   58.572    0.000  0.180  0.190  0.450  3.079  0.150    0.000
  6 13  4    1    0.000    0.244   0.000   2.956   2.317 1.000   0.018 694.507   0.000  0.000    0.000   58.557   58.557    0.000  0.180  0.149  0.150  3.920  0.150    0.000
  1 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   4.261 575.086   0.000  0.000    0.000   88.987   88.987    0.000  0.959  0.153  0.450  2.943  0.075    0.000
  2 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   4.197 569.543   0.000  0.000    0.000   88.987   88.987    0.000  0.959  0.153  0.450  2.885  0.080    0.000
  3 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   6.452 569.684   0.000  0.000    0.000   58.457   58.457    0.000  0.180  0.191  0.450  2.990  0.150    0.000
  4 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   6.449 566.725   0.000  0.000    0.000   58.383   58.383    0.000  0.179  0.205  0.450  3.138  0.150    0.000
  5 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   6.768 579.767   0.000  0.000    0.000   58.468   58.468    0.000  0.180  0.192  0.450  3.024  0.150    0.000
  6 15  4    1    0.000    0.000   0.000   0.000   0.000 0.000   5.401 690.583   0.000  0.000    0.000   58.453   58.453    0.000  0.180  0.149  0.150  3.920  0.150    0.000
  1 30  4    1   45.890   20.507  21.877  17.898   1.146 1.001   6.713 581.140   0.000  0.000    0.000   87.805   87.805    0.000  0.915  0.153  0.450  3.235  0.119   10.335
  2 30  4    1   45.890   20.492  21.877  17.885   1.146 0.972   6.642 576.003   0.000  0.000    0.000   87.805   87.805    0.000  0.915  0.153  0.450  3.171  0.126   25.843
